Крижанівський,Крыжановский,,3,
Кропив'янська,Кропивьянская,Кропивянская,3,
Кузьмінська,Кузьминская,,3,
Куйбишевська,Куйбышевская,,3,
Кучмінська,Кучминская,,3,
Кільчицька,Кильчицкая,,3,
Кірєєв,Киреев,,3,
Кірєєва,Киреева,,3,
Кірієнко,Кириенко,,3,
Кістяківський,Кистяковский,,3,
Ладен,Ладен,,3,
Лебедівська,Лебедовская,,3,
Лимонова,Лимонова,,3,
Льовочкін,Левочкин,,3,
Лілієнталь,Лилиенталь,,3,
Марджанішвілі,Марджанишвили,,3,
Мачулін,Мачулин,,3,
Мьобіус,Мебиус,,3,
Мєдвєдєв,Медведев,,3,
Мєдвєдєва,Медведева,,3,
Мілібенд,Милибэнд,,3,
Нужний,Нужный,Нужний,3,
Нікітін,Никитин,,3,
Олексієнко,Алексеенко,,3,
Опільська,Опольская,,3,
Паасіківі,Паасикиви,,3,
Петрівська,Петровская,,3,
Пилипів,Филиппов,,3,
Писарева,Писарева,,3,
Писарчук,Писарчук,,3,
Плісецька,Плисецкая,,3,
Поварчук,Поварчук,,3,
Політковська,Политковская,,3,
Потьомкін,Потемкин,,3,
Підвисоцький,Подвысоцкий,,3,
Підгорська,Подгорская,,3,
Радзієвський,Радзиевский,,3,
Раєвська,Раевская,,3,
Рилєєв,Рылеев,,3,
Рилєєва,Рылеева,,3,
Розумовська,Разумовская,,3,
Рудинська,Рудинская,,3,
Рієнцо,Риенцо,,3,
Свердлова,Свердлова,,3,
Скліфосовська,Склифосовская,,3,
Скіпальська,Скипальская,,3,
Станіславська,Станиславская,,3,
Сьомін,Семин,,3,
Таріелашвілі,Тариелашвили,,3,
Терьохін,Терехин,,3,
Терьошкін,Терешкин,,3,
Федько,Федько,,3,
Філіпович,Филипович,,3,
Храмова,Храмова,,3,
Чайківська,Чайковская,,3,
Чехівська,Чеховская,,3,
Щербаківська,Щербаковская,,3,
Євсеєнко,Евсеенко,,2,
Єзерський,Езерский,,2,
Єлачич,Йелачич,Елачич,2,
Єлізаров,Елизаров,,2,
Єлізарова,Елизарова,,2,
