Дітер,Дитер,,,,1,
Дітмар,Дитмар,,,,1,
Еван,Эван,,,,1,
Евклід,Евклид,Эвклид,,,1,
Едвард,Эдвард,,,,1,
Едгар,Эдгар,,,,1,
Едик,Эдик,,,,1,
Едмонд,Эдмонд,,,,1,
Едмунд,Эдмунд,,,,1,
Едуар,Эдуар,,,,1,
Едуард,Эдуард,,,,1,
Ежен,Эжен,,,,1,
Езоп,Эзоп,,,,1,
Ека,Эка,,,,1,
Елеонора,Элеонора,,,,1,
Елла,Элла,,,,1,
Еллочка,Эллочка,,,,1,
Елтон,Элтон,,,,1,
Ельдар,Эльдар,,,,1,
Ельза,Эльза,,,,1,
Ельмар,Эльмар,,,,1,
Ельнара,Эльнара,,,,1,
Емерсон,Эмерсон,,,,1,*
Емма,Эмма,,,,1,
Еней,Эней,,,,1,
Еол,Эол,,,,1,
Еразм,Эразм,,,,1,
Ераст,Эраст,,,,1,
Ердеш,Эрдеш,,,,1,
Ерл,Эрл,,,,1,
Ерленд,Эрленд,,,,1,
Ернест,Эрнест,,,,1,
Ернст,Эрнст,,,,1,
Ерхард,Эрхард,,,,1,
Есмеральда,Эсмеральда,,,,1,
Ехуд,Эхуд,,,,1,
Ештон,Эштон,,,,1,
Жак-Анрі,Жак-Анри,,,,1,
Жан-Жак,Жан-Жак,,,,1,
Жан-Луї,Жан-Луи,,,,1,
Жан-Мішель,Жан-Мишель,,,,1,
Жванія,Жвания,,,,1,*
Жебровський,Жебровский,,,,1,*
Жевуський,Жевуский,,,,1,*
Жозефіна,Жозефина,,,,1,
Жуль,Жюль,,,,1,
Завгородній,Завгородний,,,,1,*
Захарій,Захарий,,,,1,
Земфіра,Земфира,,,,1,
Зеновій,Зеновий,,,,1,
Зиновій,Зиновий,,,,1,
Зіна,Зина,,,,1,
Зіта,Зита,,,,1,
Йоахім,Йоахим,,,,1,
Йоганн,Иоганн,,,,1,
Йоганнес,Йоханнес,,,,1,
Йосафат,Иосафат,,,,1,
Йосиф,Иосиф,,,,1,
Казімеж,Казимеж,,,,1,
Калігула,Калигула,,,,1,*
Каміла,Камила,,,,1,
Камілла,Камилла,,,,1,
Каміль,Камиль,,,,1,
Капітон,Капитон,,,,1,
Капітошка,Капитошка,,,,1,
Карпо,Карп,,,,1,
Кас'ян,Касьян,,,,1,
Кассіопея,Кассиопея,,,,1,*
Катаріна,Катарина,,,,1,
Катря,Катя,,,,1,
Катріна,Катрина,,,,1,
Квентін,Квентин,,,,1,
Кевін,Кевин,,,,1,
Кемерон,Кэмерон,,,,1,
Кирило,Кирилл,,,,1,
Клавдій,Клавдий,,,,1,
Клавдія,Клавдия,,,,1,
Клаудія,Клаудия,,,,1,
Климентій,Климентий,,,,1,
Клінт,Клинт,,,,1,
Ковалець,Ковалец,,,,1,*
Кондоліза,Кондолиза,,,,1,
Коновалець,Коновалец,,,,1,*
Константінос,Константинос,,,,1,
Констанція,Констанция,,,,1,
Конфуцій,Конфуций,,,,1,
Корнелій,Корнелий,,,,1,
Корнеліус,Корнелиус,,,,1,
Корній,Корней,,,,1,
Кристіан,Кристиан,,,,1,
Кріс,Крис,,,,1,
Кріста,Криста,,,,1,
Крістобаль,Кристобаль,,,,1,
Крістоф,Кристоф,,,,1,
Крістофер,Кристофер,,,,1,
Крішна,Кришна,,,,1,*
Ксаверій,Ксаверий,,,,1,
Ксенія,Ксения,,,,1,
Кузьма,Кузьма,Козьма,,,1,
Купріян,Куприян,,,,1,
Кінг-Конг,Кинг-Конг,,,,1,*
Кіндрат,Кондрат,,,,1,
Кіра,Кира,,,,1,
Кірсан,Кирсан,,,,1,
Лаврентій,Лаврентий,,,,1,
Лазар,Лазарь,,,,1,
Ленін,Ленин,,,,1,*
Леонтій,Леонтий,,,,1,
Леонід,Леонид,,,,1,
Лжедмитрій,Лжедмитрий,,,,1,*
Лоліта,Лолита,,,,1,
Лук'ян,Лукьян,,,,1,
Лукрецій,Лукреций,,,,1,
Лусія,Лусия,,,,1,
Луїз,Луиз,,,,1,
Луїза,Луиза,,,,1,
Луїс,Луис,,,,1,
Луїш,Луиш,,,,1,
Льюїс,Льюис,,,,1,
Любов,Любовь,,,,1,
Людвіг,Людвиг,,,,1,
Людвік,Людвик,,,,1,
Людовік,Людовик,,,,1,
Люсінда,Люсинда,,,,1,
Люсія,Люсия,,,,1,
Люція,Люция,,,,1,
Лєшек,Лешек,,,,1,
Ліда,Лида,,,,1,
Ліза,Лиза,,,,1,
Ліля,Лиля,,,,1,
Ліна,Лина,,,,1,
Лінда,Линда,,,,1,
Ліндон,Линдон,,,,1,
Лінус,Линус,,,,1,
Ліонель,Лионель,,,,1,
Магдаліна,Магдалина,,,,1,
Маделіна,Маделина,,,,1,
Макарій,Макарий,,,,1,
Максін,Максин,,,,1,
Мальвіна,Мальвина,,,,1,
Мануел,Мануэл,,,,1,
Мануель,Мануэль,,,,1,
Мар'я,Марья,,,,1,
Мар'ян,Марьян,,,,1,
Мар'яна,Марьяна,,,,1,
Марвін,Марвин,,,,1,
Марися,Марыся,,,,1,
Маркіян,Маркиян,,,,1,
Мартин,Мартын,,,,1,
Мартін,Мартин,,,,1,
Мартіна,Мартина,,,,1,
Марцін,Марцин,,,,1,
Марі-Жан,Мари-Жан,,,,1,
Марі-Жозе,Мари-Жозе,,,,1,
Марі-Франс,Мари-Франс,,,,1,
Маріанна,Марианна,,,,1,
Марійка,Марийка,,,,1,
Маріка,Марика,,,,1,
Маріус,Мариус,,,,1,
Марічка,Маричка,,,,1,
Марія,Мария,,,,1,
Матвій,Матвей,,,,1,
Мелвін,Мелвин,,,,1,
Мелетій,Мелетий,,,,1,
Мелінда,Мелинда,,,,1,
Меркурій,Меркурий,,,,1,
Метт,Мэтт,,,,1,
Мефодій,Мефодий,,,,1,
Микита,Никита,,,,1,
Миколай,Николай,,,,1,
Мойсей,Моисей,,,,1,
Моніка,Моника,,,,1,
Моріс,Морис,,,,1,
Моріц,Мориц,,,,1,
Мохамед,Мохаммед,,,,1,
Мігель,Мигель,,,,1,
Міка,Мика,,,,1,
Мікель,Микель,,,,1,
Міклош,Миклош,,,,1,
Мікулаш,Микулаш,,,,1,
Міла,Мила,,,,1,
Мілена,Милена,,,,1,
Мілован,Милован,,,,1,
Мілорад,Милорад,,,,1,
Мілош,Милош,,,,1,
Мілтон,Милтон,,,,1,
Міранда,Миранда,,,,1,
Міт,Мит,,,,1,
Мітт,Митт,,,,1,
Мітчел,Митчел,,,,1,
Мітчелл,Митчелл,,,,1,
Міхель,Михель,,,,1,
Мішель,Мишель,,,,1,
Наріман,Нариман,,,,1,
Настася,Настасья,,,,1,
Наталя,Наталья,,,,1,
Наїна,Наина,,,,1,
Немиря,Немыря,,,,1,
Неоніла,Неонила,,,,1,
Ноель,Ноэль,,,,1,
Ніка,Ника,,,,1,
Ніклас,Никлас,,,,1,
Нікола,Никола,,,,1,
Ніколай,Николай,,,,1,
Ніколас,Николас,,,,1,
Ніколаус,Николаус,,,,1,
Нікос,Никос,,,,1,
Нільс,Нильс,,,,1,
Ніна,Нина,,,,1,
Октавіан,Октавиан,,,,1,
Октавія,Октавия,,,,1,
Олександер,Александер,,,,1,
Олександр,Александр,,,,1,
Олександра,Александра,,,,1,
Олена,Елена,,,,1,
Оленка,Аленка,,,,1,
Ольвія,Ольвия,,,,1,
Олівер,Оливер,,,,1,
Оробець,Оробец,,,,1,
Оріана,Ориана,,,,1,
Осмомисл,Осмомысл,,,,1,
Охрім,Охрим,,,,1,
Патрік,Патрик,,,,1,
Патріс,Патрис,,,,1,
Паша,Паш,,,,1,
Перегрін,Перегрин,,,,1,
Петро,Петр,,,,1,
Пимін,Пимен,,,,1,
Полонія,Полония,,,,1,
Полікарп,Поликарп,,,,1,
Поліна,Полина,,,,1,
Понтій,Понтий,,,,1,
Порфирій,Порфирий,,,,1,
Прохір,Прохор,,,,1,
Пшемислав,Пшемыслав,,,,1,
Пілат,Пилат,,,,1,
Піт,Пит,,,,1,
Пітер,Питер,,,,1,
Пітт,Питт,,,,1,
Піфагор,Пифагор,,,,1,
Рабіндранат,Рабиндранат,,,,1,
Радомисл,Радомысл,,,,1,
Раміль,Рамиль,,,,1,
